meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,region,cost_per_serving_in_inr
Keerai poriyal,,,,,,,,,,
Keerai sadam,,,,,,,,,,
Kerala Beef Fry,,,,,,,,,,
Kodubale,,,,,,,,,,
Kolhapuri akkha masoor Dal,,,,,,,,,,
Koottu,,,,,,,,,,
Kori rotti,,,,,,,,,,
Kos kootu,,,,,,,,,,
Koshambri,,,,,,,,,,
Kothamali sadam,,,,,,,,,,
Kuzhakkattai,,,,,,,,,,
Kuzhambu,,,,,,,,,,
Masala Dosa,,,,,,,,,,
Nandu omelette,,,,,,,,,,
"Obbattu (holige, bobbattu, pooran-poli)",,,,,,,,,,
Olan,,,,,,,,,,
Pachadi,,,,,,,,,,
Paniyaram,,,,,,,,,,
Paddu,,,,,,,,,,
Gujiya,,,,,,,,,,
Pesarattu,,,,,,,,,,
Ragi mudde,,,,,,,,,,
Rasam,,,,,,,,,,
Sambar,,,,,,,,,,
Thali,,,,,,,,,,
Upma,,,,,,,,,,
Vada,,,,,,,,,,
Vangi Bath,,,,,,,,,,
Vindaloo,,,,,,,,,,
Zunka,,,,,,,,,,
Murukku,,,,,,,,,,
Samosa,,,,,,,,,,
Chana Jor Garam,,,,,,,,,,
Aloo Tikki,,,,,,,,,,
Vada Pav,,,,,,,,,,
Dhokla,,,,,,,,,,
Pav Bhaji,,,,,,,,,,
Mirchi Bajji,,,,,,,,,,
Poha,,,,,,,,,,
Sundal,,,,,,,,,,
Mysore Bonda,,,,,,,,,,
Ghugni Chaat,,,,,,,,,,
Banana Chips,,,,,,,,,,
Moong Dal Chilla,,,,,,,,,,
Golgappa,,,,,,,,,,
Pani Puri,,,,,,,,,,
Papdi Chaat,,,,,,,,,,
Dahi Vada,,,,,,,,,,
Onion Pakoda,,,,,,,,,,
Bhaji,,,,,,,,,,
Dal Vada,,,,,,,,,,
Masala Vada,,,,,,,,,,
Aloo Pakora,,,,,,,,,,
Aloo Bajji,,,,,,,,,,
Kanda Bhaji,,,,,,,,,,
Paneer Pakora,,,,,,,,,,
Moong Dal Pakoda,,,,,,,,,,
Kothimbir Vadi,,,,,,,,,,
Bread Roll,,,,,,,,,,
Maddur Vada,,,,,,,,,,
,,,,,,,,,,
Balu shahi,"Maida flour, yogurt, oil, sugar",,,,,vegetarian,,,East,
Boondi,"Gram flour, ghee, sugar",,,,,vegetarian,,,West,
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",,,,,vegetarian,,,North,
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",,,,,vegetarian,,,West,
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",,,,,vegetarian,,,East,
Imarti,"Sugar syrup, lentil flour",,,,,vegetarian,,,East,
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",,,,,vegetarian,,,North,
Kaju katli,"Cashews, ghee, cardamom, sugar",,,,,vegetarian,,,,
Kalakand,"Milk, cottage cheese, sugar",,,,,vegetarian,,,East,
Kheer,"Milk, rice, sugar, dried fruits",,,,,vegetarian,,,,
Laddu,"Gram flour, ghee, sugar",,,,,vegetarian,,,,
Lassi,"Yogurt, milk, nuts, sugar",,,,,vegetarian,,,North,
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",,,,,vegetarian,,,,
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",,,,,vegetarian,,,North,
Phirni,"Rice, sugar, nuts",,,,,vegetarian,,,East,
Rabri,"Condensed milk, sugar, spices, nuts",,,,,vegetarian,,,North,
Sheera,"Semolina, ghee, nuts, milk",,,,,vegetarian,,,West,
Singori,"Khoa, coconut, molu leaf",,,,,vegetarian,,,North,
Sohan halwa,"Corn flour, ghee, dry fruits",,,,,vegetarian,,,North,
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",,,,,vegetarian,,,West,
Chhena jalebi,"Chhena, sugar, ghee",,,,,vegetarian,,,East,
Chhena kheeri,"Chhena, sugar, milk",,,,,vegetarian,,,East,
Chhena poda,"Sugar, chenna cheese",,,,,vegetarian,,,East,
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",,,,,vegetarian,,,East,
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",,,,,vegetarian,,,East,
Ledikeni,"Chhena, sugar, ghee",,,,,vegetarian,,,East,
Lyangcha,"Flour, fried milk power, sugar syrup",,,,,vegetarian,,,North East,
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",,,,,vegetarian,,,North,
Mihidana,"Besan flour, sugar, ghee",,,,,vegetarian,,,East,
Misti doi,"Milk, jaggery",,,,,vegetarian,,,East,
Pantua,"Chhena, sugar, ghee, flour",,,,,vegetarian,,,East,
Pithe,"Rice flour, wheat flour",,,,,vegetarian,,,North East,
Rasabali,"Chenna, sweetened milk",,,,,vegetarian,,,East,
Ras malai,"Chhena, reduced milk, pistachio",,,,,vegetarian,,,East,
Rasgulla,"Chhena, sugar, cardamom",,,,,vegetarian,,,East,
Sandesh,"Milk, sugar, saffron, cardamom",,,,,vegetarian,,,East,
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",,,,,vegetarian,,,East,
Ariselu,"Rice flour, jaggery, ghee",,,,,vegetarian,,,South,
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",,,,,vegetarian,,,South,
Chikki,"Peanuts, jaggery",,,,,vegetarian,,,West,
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",,,,,vegetarian,,,South,
Double ka meetha,"Loaf bread, milk",,,,,vegetarian,,,South,
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",,,,,vegetarian,,,South,
Kakinada khaja,"Wheat flour, sugar",,,,,vegetarian,,,South,
Kuzhi paniyaram,"Black lentils, rice",,,,,vegetarian,,,South,
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",,,,,vegetarian,,,South,
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",,,,,vegetarian,,,South,
Palathalikalu,"Rice flour, milk",,,,,vegetarian,,,South,
Poornalu,"Chana dal, jaggery",,,,,vegetarian,,,South,
Pongal,"Rice, jaggery, cashews, ghee",,,,,vegetarian,,,South,
Pootharekulu,"Rice flour, powdered sugar, ghee",,,,,vegetarian,,,South,
Qubani ka meetha,"Apricots, sugar syrup",,,,,vegetarian,,,South,
Sheer korma,"Vermicelli pudding, milk",,,,,vegetarian,,,South,
Unni Appam,"Rice flour, banana, jaggery, coconut",,,,,vegetarian,,,South,
Kajjikaya,"Rice flour, jaggery, coconut",,,,,vegetarian,,,South,
Anarsa,"Rice flour, jaggery, khus-khus seeds",,,,,vegetarian,,,West,
Basundi,"Sugar, milk, nuts",,,,,vegetarian,,,West,
Dhondas,"Cucumber, rava",,,,,vegetarian,,,West,
Doodhpak,"Milk, rice, sugar, dry fruits",,,,,vegetarian,,,West,
Mahim halwa,"Semolina, sugar",,,,,vegetarian,,,West,
Modak,"Rice flour, coconut, jaggery ",,,,,vegetarian,,,West,
Shankarpali,"Sugar, ghee, maida flour, semolina",,,,,vegetarian,,,West,
Shrikhand,"Curd, sugar, saffron, cardamom",,,,,vegetarian,,,West,
Sutar feni,"Maida, sugar, ghee",,,,,vegetarian,,,West,
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",,,,,non vegetarian,,,North East,
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",,,,,non vegetarian,,,North East,
Chak Hao Kheer,"Rice, milk, sugar, cardamom",,,,,vegetarian,,,North East,
Galho,"Rice, axone, salt, water, chillies, pork",,,,,non vegetarian,,,North East,
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",,,,,vegetarian,,,North,
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",,,,,vegetarian,,,North,
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",,,,,vegetarian,,,North,
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",,,,,vegetarian,,,North,
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",,,,,vegetarian,,,North,
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",,,,,vegetarian,,,North,
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",,,,,vegetarian,,,North,
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",,,,,non vegetarian,,,South,
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",,,,,non vegetarian,,,North,
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",,,,,vegetarian,,,North,
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",,,,,vegetarian,,,West,
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",,,,,non vegetarian,,,East,
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",,,,,non vegetarian,,,North,
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",,,,,non vegetarian,,,North,
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",,,,,vegetarian,,,North,
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",,,,,vegetarian,,,West,
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",,,,,vegetarian,,,East,
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",,,,,vegetarian,,,North,
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",,,,,vegetarian,,,North,
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",,,,,vegetarian,,,North,
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",,,,,vegetarian,,,West,
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",,,,,vegetarian,,,Central,
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",,,,,vegetarian,,,North,
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",,,,,vegetarian,,,North,
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",,,,,vegetarian,,,North,
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",,,,,vegetarian,,,North,
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",,,,,vegetarian,,,,
Kofta,"Paneer, potato, cream, corn flour, garam masala",,,,,vegetarian,,,North,
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",,,,,vegetarian,,,,
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",,,,,vegetarian,,,North,
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",,,,,vegetarian,,,,
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",,,,,vegetarian,,,North,
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",,,,,vegetarian,,,North,
Misi roti,"Whole wheat flour, chickpea flour, green chilies",,,,,vegetarian,,,North,
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",,,,,vegetarian,,,North,
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",,,,,vegetarian,,,North,
Naan,"Whole wheat flour, honey, butter, garlic",,,,,vegetarian,,,North,
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",,,,,vegetarian,,,North,
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",,,,,vegetarian,,,North,
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",,,,,vegetarian,,,North,
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",,,,,vegetarian,,,North,
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",,,,,vegetarian,,,,
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",,,,,vegetarian,,,,
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",,,,,vegetarian,,,,
Paratha,"Wheat flour, butter, potato, coriander",,,,,vegetarian,,,North,
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",,,,,vegetarian,,,West,
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",,,,,vegetarian,,,North,
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",,,,,vegetarian,,,North,
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",,,,,vegetarian,,,North,
Samosa,"Potatoes, green peas, garam masala, ginger, dough",,,,,vegetarian,,,,
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",,,,,vegetarian,,,North,
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",,,,,vegetarian,,,North,
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",,,,,vegetarian,,,South,
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",,,,,vegetarian,,,North,
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",,,,,non vegetarian,,,North,
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",,,,,non vegetarian,,,North,
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",,,,,vegetarian,,,South,
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",,,,,vegetarian,,,South,
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",,,,,vegetarian,,,South,
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",,,,,vegetarian,,,South,
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",,,,,vegetarian,,,South,
Idiappam,"Rice flour, hot water, grated coconut",,,,,vegetarian,,,South,
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",,,,,vegetarian,,,South,
Kanji,"Carrot, yellow mustard, red chilli, black salt",,,,,vegetarian,,,South,
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",,,,,vegetarian,,,South,
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",,,,,vegetarian,,,South,
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",,,,,vegetarian,,,South,
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",,,,,vegetarian,,,South,
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",,,,,vegetarian,,,South,
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",,,,,non vegetarian,,,South,
Kootu,"Chana dal, urad dal, potato, beans, peas",,,,,vegetarian,,,South,
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",,,,,vegetarian,,,South,
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",,,,,vegetarian,,,South,
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",,,,,vegetarian,,,South,
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",,,,,vegetarian,,,South,
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",,,,,vegetarian,,,South,
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",,,,,vegetarian,,,South,
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",,,,,vegetarian,,,South,
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",,,,,vegetarian,,,South,
Papadum,"Lentils, black pepper, vegetable oil",,,,,vegetarian,,,South,
Paravannam,"Raw rice,  jaggery, milk",,,,,vegetarian,,,South,
Payasam,"Rice, cashew nuts, milk, raisins, sugar",,,,,vegetarian,,,South,
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",,,,,vegetarian,,,South,
Pesarattu,"Green moong beans, rice flour",,,,,vegetarian,,,South,
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",,,,,vegetarian,,,South,
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",,,,,vegetarian,,,South,
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",,,,,vegetarian,,,South,
Puttu,"Brown rice flour, sugar, grated coconut",,,,,vegetarian,,,South,
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",,,,,vegetarian,,,South,
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",,,,,vegetarian,,,South,
Sevai,"Sevai, parboiled rice, steamer",,,,,vegetarian,,,South,
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",,,,,vegetarian,,,South,
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",,,,,vegetarian,,,South,
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",,,,,vegetarian,,,South,
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",,,,,vegetarian,,,South,
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",,,,,non vegetarian,,,South,
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",,,,,vegetarian,,,,
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",,,,,vegetarian,,,West,
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",,,,,vegetarian,,,West,
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",,,,,non vegetarian,,,West,
Saath,"Urad dal, potatoes, wheat flour, sooji",,,,,vegetarian,,,West,
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",,,,,vegetarian,,,West,
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",,,,,vegetarian,,,West,
Bhakri,"Jowar flour, sesame seeds",,,,,vegetarian,,,West,
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",,,,,non vegetarian,,,West,
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",,,,,vegetarian,,,West,
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",,,,,vegetarian,,,West,
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",,,,,vegetarian,,,West,
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",,,,,vegetarian,,,West,
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",,,,,vegetarian,,,West,
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",,,,,vegetarian,,,West,
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",,,,,vegetarian,,,West,
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",,,,,vegetarian,,,West,
Dhokla,"Rava, coconut, gram flour, mustard, sesame",,,,,vegetarian,,,West,
